HUMS.Healthy',HUMS.Unhealthy',BMRQ.Social_Reward',BMRQ.Musical_Seeking',BMRQ.Mood_Regulation',BMRQ.Sensory_Motor',BMRQ.Emotional_Evocation',IRI.Perspective_Taking',IRI.Fantasy',IRI.Empathic_Concern',IRI.Personal_Distress',EC.Happiness',EC.Love',EC.Fear',EC.Anger',EC.Sadness',P.Extraversion',P.Agreeableness',P.Conscientiousness',P.Neuroticism',P.Openness'
19,11,11,12,16,18,16,20,24,27,17,9,8,6,6,5,24,39,28,23,42
23,18,14,18,19,11,16,29,30,27,21,12,11,11,11,7,25,37,28,16,39
23,24,17,14,18,18,18,23,26,27,22,11,9,9,8,8,30,36,25,25,43
25,18,17,17,20,12,14,23,29,29,25,12,12,9,11,9,22,42,33,24,38
23,17,16,17,17,20,19,25,26,29,20,11,12,10,9,10,37,41,35,19,37
19,12,14,14,16,11,15,25,26,26,16,9,9,7,6,6,23,32,22,18,37
23,19,18,17,18,16,16,28,29,31,20,11,9,10,8,9,23,34,36,20,44
20,15,16,13,16,18,15,23,24,25,20,8,7,7,7,6,29,39,30,23,36
19,19,13,16,17,16,18,18,19,25,27,9,11,7,10,7,17,27,24,33,43
18,21,16,14,16,16,16,23,33,28,30,11,9,10,8,10,20,30,22,36,43
20,8,11,9,19,7,19,19,18,23,15,12,4,4,5,7,19,37,31,16,41
18,18,15,17,16,16,16,26,23,28,17,10,11,9,9,10,28,43,34,16,38
11,19,11,11,14,18,17,21,20,25,22,9,12,10,7,11,29,28,25,26,31
22,23,16,16,18,16,18,16,27,21,19,7,10,6,10,10,25,34,18,26,40
18,17,15,15,17,12,17,26,26,25,21,9,9,8,8,10,19,29,29,20,32
17,21,14,13,14,13,15,21,28,18,22,8,11,6,4,5,16,30,15,33,34
18,12,12,16,17,19,20,23,26,27,17,8,12,9,10,8,26,39,29,20,37
21,14,17,12,16,12,18,23,32,21,14,11,4,6,10,5,18,26,29,23,44
19,20,13,12,16,16,15,22,21,23,17,9,7,7,7,7,24,30,28,21,32
19,11,13,13,15,13,15,22,24,23,12,11,9,5,7,9,17,32,29,14,31
14,15,16,15,20,20,18,25,31,30,24,9,8,10,9,11,22,33,24,25,39
17,26,17,13,16,15,16,28,25,22,21,9,9,8,8,7,16,30,19,30,34
23,24,14,18,20,18,16,23,33,33,26,12,9,8,7,11,30,33,33,37,43
19,14,12,11,14,15,13,30,24,25,20,9,9,9,6,6,25,38,27,15,39
20,22,15,14,19,12,18,22,31,32,27,12,9,8,10,11,28,38,36,23,40
21,16,16,12,17,12,19,24,25,18,20,10,7,5,7,4,28,31,24,22,40
23,18,14,13,18,13,18,20,24,26,23,11,10,9,8,9,21,32,24,24,38
